Date,Open,High,Low,Close,Adj Close,Volume
2019-01-08,114.397705,115.267685,113.747612,114.560226,94.221191,4982726
2019-01-09,115.592735,116.061188,114.598473,115.382408,94.897392,3800850
2019-01-10,114.799232,116.500954,114.674950,116.434036,95.762321,4089860
2019-01-11,116.233269,116.271507,114.913956,116.118546,95.502838,3893630
2019-01-14,115.210327,115.344170,114.493309,115.095604,94.661514,5469220
2019-01-15,115.640533,116.567879,115.506691,116.376671,95.715141,3668845
2019-01-16,116.233269,116.634796,115.516251,116.271507,95.628662,4017791
2019-01-17,115.258125,117.026772,115.248566,116.816444,96.076836,5261275
2019-01-18,117.848946,119.235184,117.313576,118.374763,97.358475,6284891
2019-01-22,117.877632,118.355644,116.195030,117.131927,96.336304,10514810
2019-01-23,125.592735,129.063095,124.579353,127.045891,104.490143,23078630
2019-01-24,126.797325,127.351814,125.650093,126.701721,104.207085,6613753
2019-01-25,127.026772,128.527725,126.606117,128.078400,105.339333,5969940
2019-01-28,127.246651,128.881454,126.749519,128.365204,105.575226,5604154
2019-01-29,128.384323,129.455063,127.724663,128.422562,105.622406,5268807
2019-01-30,128.107071,129.091782,127.390060,128.470367,105.661728,4707941
2019-01-31,128.537292,128.795410,127.858505,128.508606,105.693176,5108664
2019-02-01,129.034424,129.254303,127.485657,128.202682,105.441559,3981076
2019-02-04,128.126190,129.254303,127.141495,129.244736,106.298607,4149064
2019-02-05,129.330780,129.847031,128.986618,129.588913,106.581673,5647249
2019-02-06,129.273422,130.640533,129.225616,130.325043,107.187119,5104166
2019-02-07,127.676865,128.556412,126.309753,127.332695,105.946220,4580852
2019-02-08,126.520073,127.829826,126.376671,127.829826,106.359863,3399291
2019-02-11,128.384323,129.206497,128.021027,128.097519,106.582588,3237475
2019-02-12,129.206497,130.210327,128.929260,130.066925,108.221214,3469791
2019-02-13,130.898666,131.854691,130.411087,131.472275,109.390518,4448638
2019-02-14,131.137665,131.548752,130.219879,130.478012,108.563248,2917712
2019-02-15,131.529633,132.112808,131.347992,131.959854,109.796219,4020929
2019-02-19,131.749527,132.600388,131.319305,132.600388,110.329170,3541442
2019-02-20,132.657745,133.116638,131.185471,131.931168,109.772339,3976892
2019-02-21,131.759079,132.265778,131.309753,131.778198,109.645058,3072416
2019-02-22,132.629059,133.250473,132.342255,133.126190,110.766663,3256930
2019-02-25,133.843216,134.292542,133.193115,133.326965,110.933716,3341133
2019-02-26,133.527725,134.311661,133.336517,133.575531,111.140518,3201178
2019-02-27,133.126190,133.432129,132.313583,133.049713,110.703018,2647321
2019-02-28,132.667297,132.944550,131.663483,132.055450,109.875748,3616859
2019-03-01,133.183563,133.881454,132.543015,133.078400,110.726898,3169380
2019-03-04,133.833649,133.919693,131.137665,132.342255,110.114388,3563617
2019-03-05,132.284897,132.638626,131.510513,131.816437,109.676865,4445814
2019-03-06,132.045883,132.304016,130.707458,130.956024,108.960991,2895642
2019-03-07,130.602295,130.869980,128.709366,129.407272,107.672348,4559305
2019-03-08,128.307846,129.292542,127.705544,129.149139,107.457581,3947186
2019-03-11,130.047806,131.673035,129.866150,131.653915,109.541672,4120508
2019-03-12,132.428299,133.556412,131.797318,132.198853,109.995071,4136616
2019-03-13,131.978973,133.193115,131.787766,132.466537,110.217789,3319167
2019-03-14,132.418732,132.829834,131.988525,132.686417,110.400742,2864576
2019-03-15,133.240921,134.158707,133.107071,133.298279,110.909836,7482770
2019-03-18,133.680695,134.196945,132.619507,134.043976,111.530273,3418851
2019-03-19,134.761002,135.468445,133.843216,134.311661,111.753014,3642486
2019-03-20,134.349899,134.512421,132.868073,133.460800,111.045059,3817377
2019-03-21,132.982788,135.869980,132.772461,135.219879,112.508690,3771248
2019-03-22,134.770554,135.219879,132.791580,133.317398,110.925735,4055551
2019-03-25,132.944550,133.757172,132.265778,133.059280,110.710968,2970431
2019-03-26,133.776291,134.818359,133.288712,134.053543,111.538246,2671170
2019-03-27,134.235184,134.311661,132.313583,133.116638,110.758705,3240717
2019-03-28,133.757172,134.263855,132.982788,133.766724,111.299591,2786439
2019-03-29,134.321228,135.009567,133.986618,134.894836,112.238266,3244064
2019-04-01,135.286804,137.103256,135.286804,136.998093,113.988235,4167578
2019-04-02,137.045883,137.619507,136.328873,136.711288,113.749603,2515421
2019-04-03,137.332703,137.877625,136.720840,137.313583,114.250732,2804535
2019-04-04,137.304016,137.801147,136.271515,136.500961,113.574631,2898571
2019-04-05,136.988525,137.189301,136.195023,136.978973,113.972336,2857463
2019-04-08,136.730408,137.112808,136.587006,137.084137,114.059814,2215637
2019-04-09,136.386230,136.663483,135.602295,135.860428,113.041634,3178271
2019-04-10,135.946457,137.189301,135.736145,136.730408,113.765518,2801188
2019-04-11,137.476105,137.772461,136.739960,137.456985,114.370064,3077332
2019-04-12,137.915863,138.087952,137.380493,138.001907,114.823448,3032249
2019-04-15,138.049713,138.107071,136.969406,137.571701,114.465500,3768947
2019-04-16,138.049713,138.996170,137.686417,138.757172,115.451851,6591578
2019-04-17,131.328873,135.736145,130.267685,132.992355,110.655296,13101882
2019-04-18,132.887192,134.311661,132.600388,134.158707,111.625755,5188160
2019-04-22,133.288712,134.378586,132.390060,132.782028,110.480286,4700724
2019-04-23,133.030594,134.722748,132.829834,134.263855,111.713249,4667461
2019-04-24,134.416824,135.095596,133.632889,133.795410,111.323486,2902545
2019-04-25,133.556412,133.604202,131.653915,132.533463,110.273476,3043965
2019-04-26,133.212234,133.738052,132.705551,133.307846,110.917786,2426511
2019-04-29,133.030594,133.489487,132.705551,132.934998,110.607574,3094382
2019-04-30,132.992355,134.263855,132.581268,134.101334,111.578033,4852185
2019-05-01,134.369019,135.573608,134.005737,134.378586,111.808693,3194170
2019-05-02,134.321228,135.066925,133.279160,133.451248,111.037109,3704304
2019-05-03,133.556412,134.799240,133.489487,134.082214,111.562103,2698575
2019-05-06,132.217972,134.502869,131.835571,134.206497,111.665504,2921792
2019-05-07,133.030594,133.374756,130.200760,131.587006,109.485985,4944233
2019-05-08,131.711288,132.600388,131.099426,131.931168,109.772339,3994569
2019-05-09,128.957932,129.617584,127.179733,129.388138,108.935234,4385564
2019-05-10,128.948380,129.780121,126.596558,129.369019,108.919136,4160570
2019-05-13,127.418739,127.695984,125.200768,125.640533,105.780029,5186068
2019-05-14,126.022942,128.412994,125.889099,127.447418,107.301300,3431298
2019-05-15,126.759079,128.671127,126.548759,128.489487,108.178642,2668346
2019-05-16,128.814529,130.124283,128.718933,129.904404,109.369896,3156096
2019-05-17,128.757172,129.455063,128.049713,128.412994,108.114235,2739579
2019-05-20,127.657745,129.474182,127.084129,129.177826,108.758171,3414667
2019-05-21,130.133850,131.032501,129.818359,130.449326,109.828682,2618661
2019-05-22,130.019119,130.736145,129.741867,130.353729,109.748199,1934891
2019-05-23,129.187378,129.187378,124.703636,126.567879,106.560799,5589196
2019-05-24,127.657745,128.346085,125.803062,126.462715,106.472252,2715521
2019-05-28,126.319313,126.806885,124.541107,124.722755,105.007324,5134605
2019-05-29,124.282982,124.550667,122.676865,123.986618,104.387566,3848234
2019-05-30,124.034416,124.254303,123.260040,123.871895,104.290962,2868027
2019-05-31,122.791588,122.791588,121.271507,121.405357,102.214317,3702108
2019-06-03,121.510513,122.906311,121.472275,122.629066,103.244598,4463177
2019-06-04,123.862335,126.902489,123.413002,126.854683,106.802261,4093521
2019-06-05,127.514343,127.734222,124.732315,125.707458,105.836380,3306720
2019-06-06,126.376671,126.816444,125.143402,126.405357,106.423965,2403917
2019-06-07,126.644356,128.795410,126.395790,127.447418,107.301300,2670856
2019-06-10,128.470367,129.397705,128.021027,128.814529,108.452286,3045220
2019-06-11,129.369019,130.458893,129.110901,129.971313,109.426239,3564036
2019-06-12,129.598465,129.961761,128.499039,128.938812,108.556953,2358416
2019-06-13,129.187378,130.277252,129.149139,129.789673,109.273293,3091244
2019-06-14,129.483749,129.904404,128.518158,129.206497,108.782326,2294192
2019-06-17,129.435944,130.047806,128.776291,129.015289,108.621338,2295029
2019-06-18,129.254303,131.156784,129.254303,130.382416,109.772354,3048776
2019-06-19,130.430206,132.275330,130.248566,131.051620,110.335754,2491990
2019-06-20,132.820267,133.403442,132.122375,132.743790,111.760437,3212266
2019-06-21,132.351822,133.403442,132.304016,133.078400,112.042183,5531980
2019-06-24,133.078400,133.986618,132.934998,133.221802,112.162895,2286556
